uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Short name:en,Fully specified name:es,Short name:es,Fully specified name:fr,Short name:fr,Fully specified name:ht,Short name:ht,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
cf82933b-3f3f-45e7-a5ab-5d31aaee3da3,,TRUE,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
488b58ff-64f5-4f8a-8979-fa79940b1594,,FALSE,,Misc,N/A,,,,,,,,,,,,,,,,,,,,
166025AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Sex at birth,,Question,Coded,,,,,,,,,,,,,,,,,,,,
163266AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Current health facility,A reference to the same facility the patient was seen in. A generic answer.,Misc,Text,,,,,,,Clinic actuelle,,Klinik sa a,,,,,,,,,,,
160479AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Private health care clinic/facility,,Misc,Text,,,SNOMED-CT:394794000,,,,,,,,,,,,,,,,,
165091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Long duration,Characterization of a time period involving an extended period of time.,Misc,Text,,,SNOMED-CT:260384008,,,,,,,,,,,,,,,,,
164352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Relationship to patient,,Question,Coded,,,,,,,Lien avec le patient,,Lyen,,,,,,,,,,,
164164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Surgical Outpatient Department,,Misc,Text,,,SNOMED-CT:405607001,SOPD,,,,,,,,,,,,,,,,
164401AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV test performed,,Question,Coded,,,,,,,,,,,,,,,,,,,,
159937AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Maternal and child health program,The program which deals with the health issues of mother and children.,Misc,N/A,,,CIEL:159937,MCH program,,,Programme de santÃÂ© maternelle et infantile,,Pwogram sante matÃÂ¨nÃÂ¨l ak pitit,,,,,,,,,,,
159427AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Result of HIV test,HIV test result by unspecified PCR or rapid test,Finding,Coded,,,org.openmrs.module.mdrtb:RESULT OF HIV TEST;PIH:2169;SNOMED-MVP:1594271000105002,,,,RÃÂ©sultat du test VIH,,Rezilta nan tÃÂ¨s VIH,,,,,,,,,,,
165090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Recent,"A description of time frame, implying something occurring close to the present time.",Misc,Text,,,SNOMED-CT:6493001,,,,,,,,,,,,,,,,,
165092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV-1 recent infection algorithm result,,Question,Coded,Long duration;Recent,,,,,,,,,,,,,,,,,,,
165197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Province of residence,Name of province of residence.,Question,Text,,,,,,,Departement,,Depatman,,,,,,,,,,,
164848AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Received HIV test result,,Question,Coded,,,,,,,,,,,,,,,,,,,,
159799AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cough lasting more than 2 weeks,Patient has had a cough lasting more than two weeks as positive screening question for Tuberculosis.,Symptom/Finding,Text,,,PIH:2573;SNOMED-MVP:1597991000105004,,,,Toux durant plus de deux semaines,,tous ki dire plis pase 2 semÃÂ¨n,,,,,,,,,,,
